original_filepath,category,label,identity,has_fake_video,has_fake_audio,split,frames_dir,audio_path
d:\Projects\Mini-Real-Time Projects\Deepfake detection\archive\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (European)\women\id03858\00092_id00735_wavtolip.mp4,FakeVideo-FakeAudio,fake_video-fake_audio,id03858,1,1,train,d:\Projects\Mini-Real-Time Projects\Deepfake detection\deepfake-detector\backend\dataset_cache\frames\FakeVideo-FakeAudio_id03858_00092_id00735_wavtolip,d:\Projects\Mini-Real-Time Projects\Deepfake detection\deepfake-detector\backend\dataset_cache\audio\FakeVideo-FakeAudio_id03858_00092_id00735_wavtolip.wav
d:\Projects\Mini-Real-Time Projects\Deepfake detection\archive\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\women\id03589\00002_id03858_uKVqPfRf-ac.mp4,FakeVideo-RealAudio,fake_video-real_audio,id03589,1,0,train,d:\Projects\Mini-Real-Time Projects\Deepfake detection\deepfake-detector\backend\dataset_cache\frames\FakeVideo-RealAudio_id03589_00002_id03858_uKVqPfRf-ac,d:\Projects\Mini-Real-Time Projects\Deepfake detection\deepfake-detector\backend\dataset_cache\audio\FakeVideo-RealAudio_id03589_00002_id03858_uKVqPfRf-ac.wav
d:\Projects\Mini-Real-Time Projects\Deepfake detection\archive\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (European)\women\id00373\00028_id00232_wavtolip.mp4,FakeVideo-FakeAudio,fake_video-fake_audio,id00373,1,1,train,d:\Projects\Mini-Real-Time Projects\Deepfake detection\deepfake-detector\backend\dataset_cache\frames\FakeVideo-FakeAudio_id00373_00028_id00232_wavtolip,d:\Projects\Mini-Real-Time Projects\Deepfake detection\deepfake-detector\backend\dataset_cache\audio\FakeVideo-FakeAudio_id00373_00028_id00232_wavtolip.wav
d:\Projects\Mini-Real-Time Projects\Deepfake detection\archive\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (American)\women\id00418\00052_id00261_wavtolip.mp4,FakeVideo-RealAudio,fake_video-real_audio,id00418,1,0,val,d:\Projects\Mini-Real-Time Projects\Deepfake detection\deepfake-detector\backend\dataset_cache\frames\FakeVideo-RealAudio_id00418_00052_id00261_wavtolip,d:\Projects\Mini-Real-Time Projects\Deepfake detection\deepfake-detector\backend\dataset_cache\audio\FakeVideo-RealAudio_id00418_00052_id00261_wavtolip.wav
d:\Projects\Mini-Real-Time Projects\Deepfake detection\archive\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (American)\men\id01182\00167_id01163_wavtolip.mp4,FakeVideo-RealAudio,fake_video-real_audio,id01182,1,0,train,d:\Projects\Mini-Real-Time Projects\Deepfake detection\deepfake-detector\backend\dataset_cache\frames\FakeVideo-RealAudio_id01182_00167_id01163_wavtolip,d:\Projects\Mini-Real-Time Projects\Deepfake detection\deepfake-detector\backend\dataset_cache\audio\FakeVideo-RealAudio_id01182_00167_id01163_wavtolip.wav
d:\Projects\Mini-Real-Time Projects\Deepfake detection\archive\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (American)\women\id00575\00092_id00752_mqS1sUVFjhM.mp4,FakeVideo-RealAudio,fake_video-real_audio,id00575,1,0,train,d:\Projects\Mini-Real-Time Projects\Deepfake detection\deepfake-detector\backend\dataset_cache\frames\FakeVideo-RealAudio_id00575_00092_id00752_mqS1sUVFjhM,d:\Projects\Mini-Real-Time Projects\Deepfake detection\deepfake-detector\backend\dataset_cache\audio\FakeVideo-RealAudio_id00575_00092_id00752_mqS1sUVFjhM.wav
d:\Projects\Mini-Real-Time Projects\Deepfake detection\archive\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (South)\women\id06232\00025_id05931_bFqu86NV3hk.mp4,FakeVideo-RealAudio,fake_video-real_audio,id06232,1,0,test,d:\Projects\Mini-Real-Time Projects\Deepfake detection\deepfake-detector\backend\dataset_cache\frames\FakeVideo-RealAudio_id06232_00025_id05931_bFqu86NV3hk,d:\Projects\Mini-Real-Time Projects\Deepfake detection\deepfake-detector\backend\dataset_cache\audio\FakeVideo-RealAudio_id06232_00025_id05931_bFqu86NV3hk.wav
d:\Projects\Mini-Real-Time Projects\Deepfake detection\archive\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\African\women\id01783\00015_id03658_8Wtu9VXKqjY.mp4,FakeVideo-RealAudio,fake_video-real_audio,id01783,1,0,train,d:\Projects\Mini-Real-Time Projects\Deepfake detection\deepfake-detector\backend\dataset_cache\frames\FakeVideo-RealAudio_id01783_00015_id03658_8Wtu9VXKqjY,d:\Projects\Mini-Real-Time Projects\Deepfake detection\deepfake-detector\backend\dataset_cache\audio\FakeVideo-RealAudio_id01783_00015_id03658_8Wtu9VXKqjY.wav
d:\Projects\Mini-Real-Time Projects\Deepfake detection\archive\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\African\women\id00460\00005_id02071_cHuDh9F87vA.mp4,FakeVideo-RealAudio,fake_video-real_audio,id00460,1,0,train,d:\Projects\Mini-Real-Time Projects\Deepfake detection\deepfake-detector\backend\dataset_cache\frames\FakeVideo-RealAudio_id00460_00005_id02071_cHuDh9F87vA,d:\Projects\Mini-Real-Time Projects\Deepfake detection\deepfake-detector\backend\dataset_cache\audio\FakeVideo-RealAudio_id00460_00005_id02071_cHuDh9F87vA.wav
d:\Projects\Mini-Real-Time Projects\Deepfake detection\archive\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\African\women\id05106\00078_id04705_wavtolip.mp4,FakeVideo-RealAudio,fake_video-real_audio,id05106,1,0,train,d:\Projects\Mini-Real-Time Projects\Deepfake detection\deepfake-detector\backend\dataset_cache\frames\FakeVideo-RealAudio_id05106_00078_id04705_wavtolip,d:\Projects\Mini-Real-Time Projects\Deepfake detection\deepfake-detector\backend\dataset_cache\audio\FakeVideo-RealAudio_id05106_00078_id04705_wavtolip.wav
